Name,1-Methylnicotinamide,2-Aminoadipate,2-Hydroxyglutarate,2-Oxoglutarate,2-Oxoisocaproate,3-Hydroxybutyrate,3-Indoxylsulfate,4-Hydroxy-3-methoxymandelate,6-Hydroxynicotinate,Acetate,Acetoin,Alanine,Allantoin,Arabinose,Ascorbate,Aspartate,Benzoate,Betaine,Butanone,Butyrate,Choline,Citrate,Creatine,Creatinine,DSS (Chemical Shape Indicator),Dimethyl sulfone,Dimethylamine,Formate,Fucose,Fumarate,Gallate,Glucose,Glucuronate,Glutamine,Glycerol,Glycine,Guanidoacetate,Hippurate,Isobutyrate,Lactate,Malate,Maltose,Mannitol,Methanol,Methionine,Methylamine,Methylguanidine,Methylmalonate,Methylsuccinate,"NN-Dimethylglycine",N-Acetylaspartate,N-Methylhydantoin,N-Phenylacetylglycine,Nicotinamide N-oxide,O-Phosphocholine,Pantothenate,Phenol,Phenylacetate,Proline,Propionate,S-Sulfocysteine,Sarcosine,Serine,Succinate,Sucrose,Taurine,Threonine,Thymol,Trigonelline,Trimethylamine,Trimethylamine N-oxide,Tryptophan,Tyrosine,Uracil,Urea,Uridine,Valine,cis-Aconitate,trans-Aconitate
B6-lean_ex1,0.0138,0.4805,0.2223,0.6134,0.1567,0.2324,0.2371,0.0575,0.0715,0.2924,0.0713,0.0868,1.008,0.0564,0.0781,0.2019,0.0316,0.0184,0.1239,0.1911,0.0162,1.122,0.1514,0.2272,0.1007,0.0348,0.0662,0.032,0.0901,0.0085,0.0322,0.2419,0.0578,0.3483,0.2338,0.0913,0.0765,0.0357,0.0321,0.3915,0.45,0.0596,0.1379,0.0256,0.0403,0.1413,0.0289,0.0875,0.0264,0.0335,0.108,0.0551,0.3019,0.0287,0.0209,0.0764,0.0637,0.1227,0.4515,0.0521,0.1118,0.0259,0.2285,0.1267,0.0445,1.0377,0.1308,0.0515,0.0335,0.341,0.0683,0.0421,0.1368,0.0262,1215.6112,0.0268,0.0756,0.2111,0.0995
B6-lean_ex2,0.0193,0.4933,0.4435,0.713,0.1707,0.1138,0.292,0.0766,0.0567,0.1984,0.0706,0.1066,1.2453,0.0571,0.1749,0.217,0.0337,0.0391,0.1021,0.1951,0.0177,1.6475,0.1196,0.3368,0.0987,0.038,0.1219,0.0398,0.1097,0.0096,0.027,0.4558,0.1149,0.471,0.1739,0.1093,0.0817,0.0433,0.0394,0.3248,0.4622,0.0416,0.1507,0.0503,0.0524,0.1639,0.0359,0.096,0.0411,0.0379,0.0736,0.0739,0.325,0.0435,0.0238,0.1042,0.0808,0.0921,0.5665,0.0784,0.1606,0.0215,0.2678,0.1421,0.0312,1.4488,0.1285,0.0569,0.0421,0.5114,0.118,0.0436,0.1726,0.0273,1832.9713,0.0291,0.0705,0.3512,0.097
B6-lean_ex3,0.0155,0.7651,0.6302,0.8276,0.1866,0.112,0.2666,0.0687,0.0543,0.0899,0.0495,0.0964,1.358,0.0588,0.1256,0.1807,0.0351,0.0392,0.1139,0.1636,0.0164,2.9004,0.1541,0.3452,0.1004,0.046,0.1545,0.0468,0.1252,0.0108,0.0636,0.3542,0.0984,0.4323,0.166,0.1185,0.0638,0.0418,0.0445,0.441,0.4526,0.0566,0.1603,0.0519,0.0463,0.1512,0.0189,0.1234,0.0475,0.0483,0.1441,0.0686,0.3562,0.0388,0.0305,0.1074,0.0796,0.1102,0.4406,0.0709,0.1059,0.0114,0.2501,0.2355,0.0725,1.7467,0.1444,0.0453,0.0391,0.3866,0.1353,0.0435,0.1553,0.0228,359.5432,0.0297,0.0764,0.3887,0.0724
B6-lean_ex4,0.0153,0.4561,0.3369,0.7212,0.1276,0.0684,0.2256,0.048,0.0355,0.2861,0.0509,0.0718,1.4385,0.0464,0.03,0.125,0.0214,0.0262,0.0932,0.1437,0.0153,1.6154,0.1274,0.2074,0.0994,0.0336,0.0666,0.0339,0.0761,0.0122,0.0184,0.1888,0.0495,0.2997,0.0919,0.0854,0.0478,0.0282,0.0299,0.2416,0.3773,0.0679,0.1154,0.0272,0.0344,0.109,0.0145,0.0667,0.0264,0.0266,0.0907,0.0494,0.2291,0.0302,0.0202,0.0747,0.054,0.0749,0.2002,0.0909,0.0716,0.0111,0.2084,0.1963,0.0746,0.9164,0.1208,0.0194,0.0276,0.1932,0.0791,0.0488,0.0889,0.0329,130.7469,0.0239,0.0422,0.2466,0.0595
B6-lean_ex5,0.0168,0.5594,0.305,1.6065,0.1799,0.1047,0.3137,0.0605,0.0346,0.841,0.0856,0.0938,1.2687,0.0843,0.0632,0.1898,0.0327,0.0198,0.1321,0.2202,0.0184,1.3796,0.0816,0.2874,0.1,0.0389,0.0867,0.0445,0.1862,0.02,0.0247,0.2875,0.2023,0.5792,0.11,0.1018,0.0808,0.0338,0.0419,0.2463,0.6309,0.1243,0.1505,0.0308,0.0578,0.1978,0.025,0.0528,0.0298,0.0356,0.1432,0.0631,0.3798,0.0394,0.0124,0.113,0.0749,0.1542,0.3004,0.1429,0.1193,0.0262,0.2441,0.2761,0.0799,1.3392,0.1325,0.0457,0.0312,0.427,0.1348,0.0427,0.1279,0.0284,307.1571,0.0327,0.0567,0.2913,0.0492
B6-lean_ex6,0.0156,0.5038,0.5284,0.9481,0.1334,0.0592,0.2252,0.0584,0.0458,0.0602,0.0507,0.0722,1.4296,0.0666,0.0573,0.102,0.0312,0.0156,0.0714,0.1205,0.0119,3.3615,0.0783,0.3032,0.0998,0.0329,0.0615,0.0292,0.1126,0.0156,0.0337,0.2768,0.1145,0.406,0.0994,0.1138,0.0422,0.0299,0.0298,0.4182,0.3899,0.0579,0.1399,0.0256,0.042,0.1057,0.0178,0.0443,0.0282,0.0392,0.1199,0.0546,0.2743,0.032,0.02,0.1015,0.0371,0.0763,0.2786,0.0341,0.0921,0.0184,0.1714,0.2547,0.0504,1.3012,0.1062,0.0362,0.0341,0.2962,0.1052,0.0471,0.0935,0.0272,247.4055,0.0285,0.0469,0.3197,0.0817
B6-lean_ex7,0.0166,0.4539,0.4033,0.6056,0.1247,0.0526,0.309,0.0676,0.0355,0.0844,0.0458,0.0687,1.4886,0.0582,0.0176,0.0994,0.0288,0.0225,0.0768,0.1142,0.0135,2.2455,0.1452,0.2361,0.1,0.0341,0.0895,0.0306,0.1122,0.0118,0.0464,0.2006,0.1039,0.3781,0.1283,0.1443,0.0482,0.0314,0.0173,0.2968,0.3871,0.0635,0.1418,0.0211,0.0355,0.1073,0.0225,0.0499,0.0537,0.0413,0.1056,0.0512,0.3198,0.0289,0.0193,0.0926,0.0365,0.0911,0.2915,0.0322,0.0888,0.0102,0.1794,0.1887,0.0592,0.6457,0.0769,0.0323,0.0432,0.4802,0.0922,0.0414,0.1036,0.0443,172.0908,0.0215,0.0431,0.2926,0.1371
B6-ob_ex8,0.0247,0.2674,0.3692,0.7138,0.0623,0.0386,0.1875,0.0499,0.0475,0.5558,0.04,0.0652,0.8662,0.0638,0.0209,0.0886,0.0199,0.0253,0.0497,0.0945,0.0145,1.8806,0.0508,0.128,0.0986,0.0278,0.0872,0.0518,0.0737,0.0281,0.0151,0.6049,0.1072,0.1817,0.1462,0.1966,0.0534,0.2881,0.0163,0.2635,0.5576,0.0584,0.1329,0.029,0.0294,0.0685,0.0172,0.0389,0.0173,0.0062,0.0661,0.0182,0.1799,0.0209,0.0102,0.0458,0.0383,0.1353,0.3018,0.105,0.0968,0.0085,0.2018,0.1979,0.0576,0.7944,0.0559,0.0227,0.0296,0.5962,0.1507,0.0329,0.1139,0.0306,207.4393,0.0111,0.0345,0.2491,0.1029
B6-ob_ex9,0.0106,0.2148,0.3434,0.7214,0.0462,0.0354,0.254,0.0367,0.0329,0.9319,0.0381,0.0522,1.0449,0.0847,0.0325,0.0831,0.0136,0.027,0.035,0.1678,0.0097,1.2531,0.0643,0.0931,0.0994,0.0296,0.0771,0.0251,0.0854,0.0225,0.0156,0.1825,0.1077,0.1888,0.1228,0.1035,0.0323,0.2204,0.011,0.1393,0.424,0.053,0.0929,0.0168,0.0242,0.0725,0.0134,0.0262,0.023,0.0086,0.0605,0.0109,0.1837,0.0183,0.0135,0.0319,0.0376,0.0699,0.1953,0.2419,0.0903,0.0103,0.1479,0.2035,0.0474,0.255,0.0606,0.016,0.0225,0.36,0.087,0.0347,0.0741,0.0222,57.681,0.0086,0.0271,0.1905,0.0335
B6-ob_ex10,0.0152,0.0955,0.1756,0.3913,0.0303,0.0328,0.2086,0.0169,0.0364,0.0321,0.0211,0.027,0.5125,0.0387,0.0157,0.0369,0.0109,0.0211,0.0299,0.037,0.0053,1.0594,0.044,0.0781,0.0994,0.0149,0.0379,0.0109,0.0575,0.0124,0.0053,0.288,0.0642,0.1041,0.0903,0.0836,0.0185,0.116,0.0062,0.0442,0.2236,0.0309,0.0688,0.0134,0.0137,0.0378,0.0088,0.0187,0.0163,0.0044,0.0436,0.0148,0.1294,0.0144,0.0059,0.0209,0.0417,0.0468,0.1231,0.0145,0.0494,0.0039,0.1178,0.0598,0.0267,0.2885,0.025,0.0202,0.0145,0.1149,0.0287,0.0244,0.0421,0.0093,552.9891,0.0063,0.0148,0.0942,0.0318
